portfolio_name,market,strategy,decision_policy,policy_asof,policy_confidence,policy_max_weight,policy_min_weight,policy_turnover_penalty,policy_concentration_penalty,policy_risk_level,policy_regime,policy_anomaly_impact,oos_leakage_guard,row_count,cumulative_return,benchmark_cumulative_return,benchmark_excess_return,annualized_return,annualized_volatility,max_drawdown,expected_shortfall,sharpe,information_ratio,turnover,model_score,model_grade,model_score_risk_control,model_score_profitability,model_score_alpha,model_score_stability,model_score_win_rate
us_quality_tech_finance,us,equal_weight,,,,,,,,,,,,420,0.31144159609316535,0.3612862941343762,-0.04984469804121083,0.1766556178614156,0.21531028567848284,-0.202134638464907,-0.04707502611603965,0.8204699432019275,-0.1882583486977128,0.0,57.3,C,74.4,64.6,32.5,42.3,50.0
us_quality_tech_finance,us,inverse_volatility,,,,,,,,,,,,420,0.2457245226323912,0.3612862941343762,-0.11556177150198499,0.14091478536641322,0.20644375675648236,-0.20142504113510112,-0.0464235055812383,0.6825819660539988,-0.46126950379418713,0.2630377944901266,54.1,C,74.7,60.5,21.5,45.8,51.2
us_quality_tech_finance,us,mean_variance,,,,,,,,,,,,420,0.5311320464399649,0.3612862941343762,0.16984575230558874,0.2912418334077682,0.28807762741124826,-0.31483651898797077,-0.06224804896208373,1.010983865789768,0.3889268693206654,3.441824219797795,58.7,C,53.2,70.3,55.6,32.1,53.8
us_quality_tech_finance,us,raw_black_litterman,,,,,,,,,,,,420,0.315492232958394,0.3612862941343762,-0.04579406117598217,0.1788348676004583,0.23103929999139042,-0.23322958729892063,-0.052309718174103945,0.7740452278340634,-0.1622934633794684,1.9317774253909519,55.3,C,67.6,63.2,33.5,38.8,50.5
us_quality_tech_finance,us,smart_policy,raw,2024-09-11,0.95,0.3937,0.0317,0.0316,0.0307,High,Normal,none,True,420,0.3153871993145363,0.3612862941343762,-0.04589909481983989,0.1787783932424225,0.23117833898951903,-0.23341401939225398,-0.05235996057112213,0.7733353999508051,-0.16247932178351115,1.9520925641269882,55.2,C,67.6,63.2,33.5,38.8,50.5
us_quality_tech_finance,us,smart_policy_oos_guard,raw,2024-09-11,0.95,0.3937,0.0317,0.0316,0.0307,High,Normal,none,True,420,0.3153871993145363,0.3612862941343762,-0.04589909481983989,0.1787783932424225,0.23117833898951903,-0.23341401939225398,-0.05235996057112213,0.7733353999508051,-0.16247932178351115,0.404160157057187,55.2,C,67.6,63.2,33.5,38.8,50.5
us_ai_infrastructure_barbell,us,equal_weight,,,,,,,,,,,,420,0.8458420083015201,0.3612862941343762,0.48455571416714394,0.44449723659516693,0.2827869593399113,-0.2919096608334983,-0.06424638459833747,1.5718448885787517,1.086991376697373,0.0,70.7,B,55.2,87.2,83.5,32.8,54.0
us_ai_infrastructure_barbell,us,inverse_volatility,,,,,,,,,,,,420,0.6507226564659563,0.3612862941343762,0.2894363623315801,0.35084172666490154,0.22405858358431832,-0.23550148548320912,-0.05192738893832497,1.5658481860074414,1.0308147219848551,0.44721495029568326,73.9,B,67.3,87.0,81.2,39.7,56.2
us_ai_infrastructure_barbell,us,mean_variance,,,,,,,,,,,,420,0.6778458616266614,0.3612862941343762,0.3165595674922852,0.36411579193109733,0.2738329835489864,-0.27319006565665305,-0.0638667314221489,1.3297002691641058,0.7351509400438073,2.7607433071529135,66.5,B,58.6,79.9,69.4,33.8,55.5
us_ai_infrastructure_barbell,us,raw_black_litterman,,,,,,,,,,,,420,0.5635370421978703,0.3612862941343762,0.20225074806349408,0.30756987039185635,0.23305834749271873,-0.2452986158893124,-0.05596763077318058,1.319711882027592,0.6705387574952382,2.3049756602709257,67.6,B,64.9,79.6,66.8,38.6,54.8
us_ai_infrastructure_barbell,us,smart_policy,raw,2024-09-11,0.95,0.3633,0.036,0.0353,0.0354,High,High Volatility,none,True,420,0.5741940969106551,0.3612862941343762,0.21290780277627896,0.3129100347100462,0.23337889717151214,-0.2451667863830243,-0.0560061406588056,1.3407811867415156,0.7022302464025297,2.1799487180419117,68.0,B,64.9,80.2,68.1,38.6,54.5
us_ai_infrastructure_barbell,us,smart_policy_oos_guard,balanced_blend,2024-09-11,0.95,0.3633,0.036,0.0353,0.0354,High,High Volatility,none,True,420,0.7071963440554738,0.3612862941343762,0.34591004992109764,0.37838355553079106,0.2566856410540459,-0.26395046769825437,-0.06022643274485109,1.474112669399849,0.9592905569425074,0.12832571763430278,70.3,B,60.9,84.2,78.4,35.8,54.3
us_dividend_low_volatility,us,equal_weight,,,,,,,,,,,,420,0.06904940218670808,0.3612862941343762,-0.2922368919476681,0.04087520930548694,0.12107964340277018,-0.10102782326080714,-0.025471011477241384,0.33758944242605654,-0.9138864584299765,0.0,54.0,C,92.4,50.1,11.7,85.9,44.8
us_dividend_low_volatility,us,inverse_volatility,,,,,,,,,,,,420,0.07535851957744355,0.3612862941343762,-0.28592777455693263,0.044556577420946875,0.11857629888205101,-0.09704109586754732,-0.02512798260911365,0.3757629293630402,-0.9259118376433978,0.18863539813092348,54.5,C,93.0,51.3,11.5,86.9,44.3
us_dividend_low_volatility,us,mean_variance,,,,,,,,,,,,420,0.13740800413127374,0.3612862941343762,-0.22387829000310244,0.08031341255787794,0.11540697929523445,-0.08837158668020079,-0.027397544244424678,0.6959146929270191,-0.8360411033665512,3.6809081961579166,58.3,C,93.4,60.9,13.3,88.1,43.8
us_dividend_low_volatility,us,raw_black_litterman,,,,,,,,,,,,420,0.09271692637930129,0.3612862941343762,-0.2685693677550749,0.054640881961766974,0.1134392316893642,-0.09039400364948168,-0.025888621397823684,0.48167535294484876,-0.9732508893595008,1.9465390267993132,55.5,C,93.6,54.5,10.5,88.9,43.1
us_dividend_low_volatility,us,smart_policy,raw,2024-09-11,0.95,0.3981,0.0309,0.0309,0.0333,High,Normal,none,True,420,0.09508197606666502,0.3612862941343762,-0.26620431806771117,0.056009873000304466,0.11351802084173822,-0.09038750848850942,-0.025898487561949818,0.4934007180973578,-0.9631618439782128,1.8903165014874397,55.6,C,93.6,54.8,10.7,88.9,43.1
us_dividend_low_volatility,us,smart_policy_oos_guard,raw,2024-09-11,0.95,0.3981,0.0309,0.0309,0.0333,High,Normal,none,True,420,0.09508197606666502,0.3612862941343762,-0.26620431806771117,0.056009873000304466,0.11351802084173822,-0.09038750848850942,-0.025898487561949818,0.4934007180973578,-0.9631618439782128,0.3500061176395831,55.6,C,93.6,54.8,10.7,88.9,43.1
us_mid_small_sector_mix,us,equal_weight,,,,,,,,,,,,420,0.18507250588116908,0.3612862941343762,-0.1762137882532071,0.10725322392535364,0.15016932529681642,-0.1885104593665181,-0.035296877905156336,0.7142152614281433,-0.8901277857878338,0.0,54.3,C,79.3,61.4,12.2,71.8,46.2
us_mid_small_sector_mix,us,inverse_volatility,,,,,,,,,,,,420,0.1748617800078347,0.3612862941343762,-0.18642451412654149,0.1015191846888015,0.1437580408148857,-0.17762700519535765,-0.03326346566386629,0.7061809142177007,-0.9027987604150184,0.25210218160222364,54.7,C,81.1,61.2,11.9,75.5,45.5
us_mid_small_sector_mix,us,mean_variance,,,,,,,,,,,,420,0.18169734884273048,0.3612862941343762,-0.1795889452916457,0.10536003086513324,0.1336784731174893,-0.14764540997212186,-0.028891315429992136,0.788160041090033,-0.788698237853767,1.8670238788846496,57.8,C,85.9,63.6,14.2,81.0,47.9
us_mid_small_sector_mix,us,raw_black_litterman,,,,,,,,,,,,420,0.18722224841224833,0.3612862941343762,-0.17406404572212786,0.10845793324833664,0.13763988438252603,-0.15399743648270958,-0.03006135471928164,0.7879833213671736,-0.8002629522224222,1.7479715837991499,57.1,C,84.8,63.6,14.0,79.1,45.7
us_mid_small_sector_mix,us,smart_policy,raw,2024-09-11,0.95,0.3912,0.0321,0.0319,0.0355,High,Normal,none,True,420,0.18753256906004623,0.3612862941343762,-0.17375372507432996,0.10863176392133811,0.13761707672052165,-0.15457275801770967,-0.030057366812761027,0.7893770635889317,-0.7998072774408115,1.6793951732550116,57.1,C,84.8,63.7,14.0,79.1,45.7
us_mid_small_sector_mix,us,smart_policy_oos_guard,raw,2024-09-11,0.95,0.3912,0.0321,0.0319,0.0355,High,Normal,none,True,420,0.18753256906004623,0.3612862941343762,-0.17375372507432996,0.10863176392133811,0.13761707672052165,-0.15457275801770967,-0.030057366812761027,0.7893770635889317,-0.7998072774408115,0.6362399270081892,57.1,C,84.8,63.7,14.0,79.1,45.7
hk_platform_financial_core,hk,equal_weight,,,,,,,,,,,,317,0.44600132900635936,0.2854256222985634,0.16057570670779597,0.34068432358400713,0.25721441452605176,-0.1799030420203159,-0.05754691371525305,1.3245148963045428,1.1976364920245899,0.0,74.8,B,75.2,79.7,87.9,54.6,52.1
hk_platform_financial_core,hk,inverse_volatility,,,,,,,,,,,,317,0.4578003183909669,0.2854256222985634,0.17237469609240352,0.34937356065841896,0.22413628292737178,-0.15631041026917009,-0.053322891092090124,1.5587550399933623,1.2595183375111518,0.4469896319946542,79.3,A,78.7,86.8,90.4,65.8,52.4
hk_platform_financial_core,hk,mean_variance,,,,,,,,,,,,317,0.5966719452600278,0.2854256222985634,0.3112463229614644,0.4505972881386222,0.24541384646959824,-0.19409654404773008,-0.06189027153719881,1.836071169661741,1.6768944894989493,2.615152514412711,82.7,A,72.8,95.1,100.0,57.9,55.5
hk_platform_financial_core,hk,raw_black_litterman,,,,,,,,,,,,317,0.538610340642087,0.2854256222985634,0.25318471834352363,0.4085050863019366,0.23454605458311603,-0.1798206152353484,-0.058330148367420745,1.7416838967000179,1.4627338524036657,1.4548504857069955,82.3,A,75.1,92.3,98.5,61.5,56.2
hk_platform_financial_core,hk,smart_policy,raw,2025-01-27,0.95,0.4044,0.0303,0.0304,0.0275,High,Normal,none,True,317,0.5440546584911099,0.2854256222985634,0.2586290361925465,0.41246565149751757,0.23604732736397932,-0.18102840656964778,-0.05874209584083653,1.747385391326653,1.5019094218636742,1.4348245697997066,82.4,A,74.9,92.4,100.0,60.8,55.5
hk_platform_financial_core,hk,smart_policy_oos_guard,raw,2025-01-27,0.95,0.4044,0.0303,0.0304,0.0275,High,Normal,none,True,317,0.5440546584911099,0.2854256222985634,0.2586290361925465,0.41246565149751757,0.23604732736397932,-0.18102840656964778,-0.05874209584083653,1.747385391326653,1.5019094218636742,0.6163549464252456,82.4,A,74.9,92.4,100.0,60.8,55.5
hk_consumption_insurance_mix,hk,equal_weight,,,,,,,,,,,,375,0.004484620107463089,0.26607756027739793,-0.26159294016993484,0.0030114526177251744,0.23309556009357404,-0.17605023216081767,-0.05693669028498439,0.012919390727632284,-1.440876108710903,0.0,42.6,C,75.8,40.4,1.2,59.7,41.9
hk_consumption_insurance_mix,hk,inverse_volatility,,,,,,,,,,,,375,0.11714892736955806,0.26607756027739793,-0.14892863290783986,0.07728506982462502,0.18990917541833194,-0.14218109217501448,-0.0449636545755373,0.4069580611594014,-0.7584177988139441,0.3916376016249354,52.9,C,82.3,52.2,14.8,78.2,47.7
hk_consumption_insurance_mix,hk,mean_variance,,,,,,,,,,,,375,0.07213774578713017,0.26607756027739793,-0.19393981449026776,0.04792063876070518,0.1999269317036926,-0.15753130888946018,-0.04683931399027698,0.23969076278191137,-0.8311729962312322,2.329699535406757,50.1,C,79.9,47.2,13.4,73.9,48.3
