scope,horizon,market,portfolio_name,baseline,row_count,positive_event_count,positive_rate,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift
portfolio,1,cn,cn_consumption_financial_core,frozen_calibrated_xgboost,393.0,19.0,0.04834605597964377,0.5930903461863214,0.1533853296028183,0.0431428028068804,0.18226895257472236,0.008473070211390175,1.0,0.05263157894736842,2.068421052631579
portfolio,1,cn,cn_consumption_financial_core,frozen_raw_xgboost_without_calibration,393.0,19.0,0.04834605597964377,0.6096256684491979,0.166592920496106,0.19326405436868452,0.5771873319783877,0.380020547914141,0.17647058823529413,0.15789473684210525,2.5855263157894735
portfolio,1,cn,cn_consumption_financial_core,gradient_boosting,393.0,19.0,0.04834605597964377,0.47713200112580917,0.05120401235609047,0.21048179912426032,0.7231329428589149,0.23692992014348363,0.024390243902439025,0.10526315789473684,1.0342105263157895
portfolio,1,cn,cn_consumption_financial_core,historical_tail_threshold,393.0,19.0,0.04834605597964377,0.47459893048128343,0.04834605597964377,0.09669211176590332,2.0037763427387283,0.09669211095928754,0.0,0.0,0.0
portfolio,1,cn,cn_consumption_financial_core,logistic_regression,393.0,19.0,0.04834605597964377,0.4147199549676329,0.04548032217118858,0.26911569778885813,0.7339882243500238,0.42599029393729354,0.03389830508474576,0.21052631578947367,1.5513157894736842
portfolio,1,cn,cn_consumption_financial_core,random_forest,393.0,19.0,0.04834605597964377,0.4241486068111455,0.0664386019284842,0.12917118388386364,0.4293123239172489,0.2568980893075021,0.0,0.0,0.5171052631578947
portfolio,1,cn,cn_new_energy_healthcare,frozen_calibrated_xgboost,355.0,12.0,0.03380281690140845,0.44436345966958213,0.034474969751075196,0.03387528268173391,0.15738668159085312,0.01634038623674075,0.0,0.0,0.0
portfolio,1,cn,cn_new_energy_healthcare,frozen_raw_xgboost_without_calibration,355.0,12.0,0.03380281690140845,0.46695821185617103,0.03184717120223582,0.21124484368955015,0.614569655934592,0.4094113480037367,0.0,0.0,0.0
portfolio,1,cn,cn_new_energy_healthcare,gradient_boosting,355.0,12.0,0.03380281690140845,0.413508260447036,0.043668391590599966,0.11709344798829363,0.3790048717814492,0.13444037567272435,0.023255813953488372,0.08333333333333333,0.8217592592592593
portfolio,1,cn,cn_new_energy_healthcare,historical_tail_threshold,355.0,12.0,0.03380281690140845,0.48104956268221577,0.03380281690140845,0.07042253507042254,1.4593849200600715,0.07042253421126761,0.0,0.0,0.0
portfolio,1,cn,cn_new_energy_healthcare,logistic_regression,355.0,12.0,0.03380281690140845,0.5034013605442177,0.035394774832516525,0.24362796560556066,0.6832787605634265,0.4368050050188616,0.014705882352941176,0.08333333333333333,0.0
portfolio,1,cn,cn_new_energy_healthcare,random_forest,355.0,12.0,0.03380281690140845,0.4448493683187561,0.03284376914126984,0.09693170618835627,0.3580631969348767,0.23485010712616708,0.0,0.0,0.8217592592592593
portfolio,1,cn,cn_state_owned_defensive,frozen_calibrated_xgboost,393.0,21.0,0.05343511450381679,0.5418586789554531,0.060980939488533004,0.05078060016354297,0.21032478283779976,0.009345523539086941,0.0,0.0,0.9357142857142858
portfolio,1,cn,cn_state_owned_defensive,frozen_raw_xgboost_without_calibration,393.0,21.0,0.05343511450381679,0.5303379416282642,0.06560135730614747,0.19839170669275144,0.586599965783963,0.3734978024513667,0.045454545454545456,0.047619047619047616,0.9357142857142858
portfolio,1,cn,cn_state_owned_defensive,gradient_boosting,393.0,21.0,0.05343511450381679,0.6060547875064004,0.14280657937077113,0.0565409967087266,0.2313729669679607,0.04780137587424508,0.4,0.09523809523809523,2.3392857142857144
portfolio,1,cn,cn_state_owned_defensive,historical_tail_threshold,393.0,21.0,0.05343511450381679,0.49692780337941633,0.0531581589378754,0.10178117027989823,2.109238255461819,0.10178116948346055,0.047619047619047616,0.047619047619047616,0.4678571428571429
portfolio,1,cn,cn_state_owned_defensive,logistic_regression,393.0,21.0,0.05343511450381679,0.611111111111111,0.07336740790732205,0.2216180243320962,0.6421291602200059,0.3640509077302675,0.043010752688172046,0.19047619047619047,1.4035714285714285
portfolio,1,cn,cn_state_owned_defensive,random_forest,393.0,21.0,0.05343511450381679,0.6362007168458782,0.11611833499043525,0.10064638698857589,0.35833083050659875,0.20404477224667023,0.2,0.047619047619047616,1.4035714285714285
portfolio,1,hk,hk_china_etf_cross_asset,frozen_calibrated_xgboost,89.0,6.0,0.06741573033707865,0.5843373493975903,0.08851950518617185,0.06304645382014512,0.24769729978686308,0.026329459224858978,0.0,0.0,1.6481481481481481
portfolio,1,hk,hk_china_etf_cross_asset,frozen_raw_xgboost_without_calibration,89.0,6.0,0.06741573033707865,0.6044176706827309,0.12146239177489176,0.19963965460909414,0.586767096048766,0.3550350249148486,0.1111111111111111,0.16666666666666666,1.6481481481481481
portfolio,1,hk,hk_china_etf_cross_asset,gradient_boosting,89.0,6.0,0.06741573033707865,0.46285140562249,0.07146304662605138,0.11755102183119574,0.466336323191083,0.13538131742030107,0.0,0.0,0.0
portfolio,1,hk,hk_china_etf_cross_asset,historical_tail_threshold,89.0,6.0,0.06741573033707865,0.46987951807228917,0.06741573033707865,0.12359550537078653,2.5613025216384284,0.12359550461797753,0.0,0.0,0.0
portfolio,1,hk,hk_china_etf_cross_asset,logistic_regression,89.0,6.0,0.06741573033707865,0.5502008032128514,0.08679985241257826,0.26396029088641787,0.7210430136046717,0.42902417216880784,0.07407407407407407,0.3333333333333333,0.0
portfolio,1,hk,hk_china_etf_cross_asset,random_forest,89.0,6.0,0.06741573033707865,0.5100401606425703,0.07433041826066086,0.12039485157175216,0.41252380186302395,0.22577572529852127,0.0,0.0,0.0
portfolio,1,hk,hk_consumption_insurance_mix,frozen_calibrated_xgboost,364.0,15.0,0.04120879120879121,0.6151862464183381,0.0577167884172128,0.03942974528768215,0.17000065045434173,0.006136866485966104,0.0,0.0,1.9675675675675677
portfolio,1,hk,hk_consumption_insurance_mix,frozen_raw_xgboost_without_calibration,364.0,15.0,0.04120879120879121,0.6170009551098377,0.06703801103018756,0.19660814765669418,0.5837025460949621,0.3888162352390342,0.047619047619047616,0.06666666666666667,1.9675675675675677
portfolio,1,hk,hk_consumption_insurance_mix,gradient_boosting,364.0,15.0,0.04120879120879121,0.4256924546322827,0.03570557809982688,0.04273893737855861,0.19607871651389802,0.02089475031355868,0.0,0.0,0.0
portfolio,1,hk,hk_consumption_insurance_mix,historical_tail_threshold,364.0,15.0,0.04120879120879121,0.4785100286532951,0.04120879120879121,0.08241758225274727,1.7079614721610472,0.08241758141758242,0.0,0.0,0.0
portfolio,1,hk,hk_consumption_insurance_mix,logistic_regression,364.0,15.0,0.04120879120879121,0.4085959885386819,0.03469624391305591,0.2479737276541907,0.7321584836171688,0.4273424109469948,0.02,0.06666666666666667,0.0
portfolio,1,hk,hk_consumption_insurance_mix,random_forest,364.0,15.0,0.04120879120879121,0.3365807067812798,0.030553672439078586,0.09609116559607558,0.34856473666929705,0.1927220669873574,0.0,0.0,0.0
portfolio,1,hk,hk_income_property_credit,frozen_calibrated_xgboost,399.0,21.0,0.05263157894736842,0.6184807256235828,0.08078488052503746,0.04993008632327451,0.20440405294061884,0.013315288576338217,0.0,0.0,2.85
portfolio,1,hk,hk_income_property_credit,frozen_raw_xgboost_without_calibration,399.0,21.0,0.05263157894736842,0.629251700680272,0.08901631951326897,0.19605751978977792,0.5821909289515074,0.37232650133003864,0.13333333333333333,0.19047619047619047,2.85
portfolio,1,hk,hk_income_property_credit,gradient_boosting,399.0,21.0,0.05263157894736842,0.495527840765936,0.06572303650140995,0.06382954571378144,0.25141796405754396,0.05769178827568698,0.0,0.0,0.9500000000000001
portfolio,1,hk,hk_income_property_credit,historical_tail_threshold,399.0,21.0,0.05263157894736842,0.5476190476190476,0.06552094522019333,0.0902255637293233,1.8697683483763043,0.09022556290977445,0.14285714285714285,0.14285714285714285,1.9000000000000001
portfolio,1,hk,hk_income_property_credit,logistic_regression,399.0,21.0,0.05263157894736842,0.4887881078357269,0.05036366180527564,0.26243642617940444,0.7304775294071986,0.4320471918397704,0.02531645569620253,0.09523809523809523,0.0
portfolio,1,hk,hk_income_property_credit,random_forest,399.0,21.0,0.05263157894736842,0.5302343159486016,0.07347418778888205,0.10920432206214768,0.389018878461696,0.2312244806894886,0.0,0.0,0.9500000000000001
portfolio,1,hk,hk_platform_financial_core,frozen_calibrated_xgboost,306.0,20.0,0.06535947712418301,0.6555944055944056,0.13507523426476553,0.059874432392975116,0.23278237424026157,0.015148201135589803,0.0,0.0,1.4806451612903224
portfolio,1,hk,hk_platform_financial_core,frozen_raw_xgboost_without_calibration,306.0,20.0,0.06535947712418301,0.6655594405594406,0.19840031061424618,0.20757991258255537,0.6060947492780561,0.38103905281210265,0.2,0.25,2.4677419354838706
portfolio,1,hk,hk_platform_financial_core,gradient_boosting,306.0,20.0,0.06535947712418301,0.4753496503496504,0.061513793864774936,0.21832820527760124,0.6917728223170625,0.23723440951130267,0.0273972602739726,0.1,0.4935483870967742
portfolio,1,hk,hk_platform_financial_core,historical_tail_threshold,306.0,20.0,0.06535947712418301,0.46503496503496505,0.06535947712418301,0.13071895398692812,2.708923641534297,0.13071895324836602,0.0,0.0,0.0
portfolio,1,hk,hk_platform_financial_core,logistic_regression,306.0,20.0,0.06535947712418301,0.5041958041958042,0.0789703033608508,0.20670637777746664,0.6065041542188504,0.36912344927640406,0.15789473684210525,0.15,1.4806451612903224
portfolio,1,hk,hk_platform_financial_core,random_forest,306.0,20.0,0.06535947712418301,0.5583916083916084,0.08418305955773309,0.11615755293787154,0.4043490411712811,0.2195083770936397,0.0,0.0,0.9870967741935484
portfolio,1,jp,jp_auto_electronics_core,frozen_calibrated_xgboost,396.0,20.0,0.050505050505050504,0.6863031914893617,0.14456890296508224,0.04602451881102157,0.18704952434559946,0.008527678476197021,0.0,0.0,2.475
portfolio,1,jp,jp_auto_electronics_core,frozen_raw_xgboost_without_calibration,396.0,20.0,0.050505050505050504,0.6748670212765957,0.18814779143872162,0.2134633835126761,0.6193260237199395,0.4026145787552149,0.16666666666666666,0.4,3.465
portfolio,1,jp,jp_auto_electronics_core,gradient_boosting,396.0,20.0,0.050505050505050504,0.49042553191489363,0.06895941788415627,0.06149602621415247,0.24259690813624749,0.042615470342193124,0.1111111111111111,0.05,0.9900000000000001
portfolio,1,jp,jp_auto_electronics_core,historical_tail_threshold,396.0,20.0,0.050505050505050504,0.5260638297872341,0.05545454545454546,0.09090909072727275,1.8839332600988519,0.09090908990909091,0.1,0.1,1.4849999999999999
portfolio,1,jp,jp_auto_electronics_core,logistic_regression,396.0,20.0,0.050505050505050504,0.6293882978723404,0.11205229218501733,0.2927103447107769,0.806268352321426,0.4831962094721191,0.0782608695652174,0.45,2.9699999999999998
portfolio,1,jp,jp_auto_electronics_core,random_forest,396.0,20.0,0.050505050505050504,0.5867021276595745,0.1703387754139221,0.12421472273054683,0.42309918996481355,0.26599380857260435,0.0,0.0,1.9800000000000002
portfolio,1,jp,jp_defensive_domestic,frozen_calibrated_xgboost,396.0,20.0,0.050505050505050504,0.4909574468085106,0.08190997513205384,0.04765168587340078,0.20086668447852746,0.0051190999919793175,0.0,0.0,0.9900000000000001
portfolio,1,jp,jp_defensive_domestic,frozen_raw_xgboost_without_calibration,396.0,20.0,0.050505050505050504,0.46648936170212774,0.08839995997740153,0.2137284182996061,0.619521934152385,0.39519348499750845,0.07142857142857142,0.1,0.9900000000000001
portfolio,1,jp,jp_defensive_domestic,gradient_boosting,396.0,20.0,0.050505050505050504,0.5056515957446808,0.1441696360238678,0.05713408423280385,0.23899579017381295,0.05768945962647052,0.6666666666666666,0.1,2.475
portfolio,1,jp,jp_defensive_domestic,historical_tail_threshold,396.0,20.0,0.050505050505050504,0.4734042553191489,0.050505050505050504,0.10101010080808083,2.093259177776502,0.10101010001010102,0.0,0.0,0.49500000000000005
portfolio,1,jp,jp_defensive_domestic,logistic_regression,396.0,20.0,0.050505050505050504,0.37566489361702127,0.039872833537337754,0.17567741008679882,0.5394673017606819,0.34262528644045764,0.0,0.0,0.0
portfolio,1,jp,jp_defensive_domestic,random_forest,396.0,20.0,0.050505050505050504,0.3805851063829787,0.04029481561112218,0.09255943339136152,0.34724358886253925,0.18839948075553467,0.0,0.0,0.0
portfolio,1,jp,jp_financial_industrial_mix,frozen_calibrated_xgboost,396.0,17.0,0.04292929292929293,0.6766257954369083,0.16416145407555663,0.039291983069222165,0.1651524382688679,0.018244575394591345,0.0,0.0,2.911764705882353
portfolio,1,jp,jp_financial_industrial_mix,frozen_raw_xgboost_without_calibration,396.0,17.0,0.04292929292929293,0.6976563712556262,0.21407808143801077,0.21588659260807294,0.6229278835791392,0.4127203045845633,0.15384615384615385,0.47058823529411764,3.4941176470588236
portfolio,1,jp,jp_financial_industrial_mix,gradient_boosting,396.0,17.0,0.04292929292929293,0.5826478348595374,0.08618240718228158,0.05138586870795186,0.2053933318182875,0.03318489458191746,0.16666666666666666,0.058823529411764705,1.1647058823529413
portfolio,1,jp,jp_financial_industrial_mix,historical_tail_threshold,396.0,17.0,0.04292929292929293,0.5697656371255626,0.06649540386564609,0.07070707056565657,1.4652814247435515,0.07070706970707072,0.17647058823529413,0.17647058823529413,2.3294117647058825
portfolio,1,jp,jp_financial_industrial_mix,logistic_regression,396.0,17.0,0.04292929292929293,0.6507837963681514,0.0853476191181494,0.2950042784038314,0.8001169051311852,0.4895907023775733,0.08064516129032258,0.5882352941176471,1.1647058823529413
portfolio,1,jp,jp_financial_industrial_mix,random_forest,396.0,17.0,0.04292929292929293,0.7027782089088934,0.17801418413560138,0.12156024631174876,0.4147277969725156,0.27469645457206754,0.25,0.11764705882352941,2.3294117647058825
portfolio,1,jp,jp_index_style_blend,frozen_calibrated_xgboost,392.0,19.0,0.04846938775510204,0.6779314237335967,0.17372859797359963,0.044038804811537643,0.1808961715650936,0.014599344818450126,0.0,0.0,3.094736842105263
portfolio,1,jp,jp_index_style_blend,frozen_raw_xgboost_without_calibration,392.0,19.0,0.04846938775510204,0.681811768025963,0.18579838281867797,0.204331518711095,0.5994023816887473,0.39183311430471296,0.16279069767441862,0.3684210526315789,3.6105263157894734
portfolio,1,jp,jp_index_style_blend,gradient_boosting,392.0,19.0,0.04846938775510204,0.5778890927049527,0.08067467038250112,0.06502283933933012,0.24294345408052515,0.04599708673505868,0.125,0.05263157894736842,1.5473684210526315
portfolio,1,jp,jp_index_style_blend,historical_tail_threshold,392.0,19.0,0.04846938775510204,0.6114717087625229,0.10150375939849623,0.07397959168877552,1.5330987501496809,0.0739795908367347,0.25,0.2631578947368421,3.094736842105263
portfolio,1,jp,jp_index_style_blend,logistic_regression,392.0,19.0,0.04846938775510204,0.5525610272329617,0.06841070283530515,0.23338043454169308,0.6662417467341195,0.4053215772127486,0.046875,0.15789473684210525,1.0315789473684212
portfolio,1,jp,jp_index_style_blend,random_forest,392.0,19.0,0.04846938775510204,0.6413150839565401,0.20340069001389774,0.12852969575227177,0.429472634807116,0.2748094818402237,0.25,0.21052631578947367,3.094736842105263
portfolio,1,tw,tw_defensive_income_financials,frozen_calibrated_xgboost,394.0,31.0,0.07868020304568528,0.5307029236648005,0.08936690008550052,0.07343676993669966,0.2855048089078287,0.03224255852340482,0.0,0.0,1.270967741935484
portfolio,1,tw,tw_defensive_income_financials,frozen_raw_xgboost_without_calibration,394.0,31.0,0.07868020304568528,0.5292810806007288,0.10197932798733043,0.20512814744414518,0.6023017920893406,0.35359428709533613,0.12,0.0967741935483871,1.5887096774193548
portfolio,1,tw,tw_defensive_income_financials,gradient_boosting,394.0,31.0,0.07868020304568528,0.4698302674842264,0.1045515945763916,0.09704029606170687,0.35908741120847304,0.08164746088545846,0.08333333333333333,0.03225806451612903,0.635483870967742
portfolio,1,tw,tw_defensive_income_financials,historical_tail_threshold,394.0,31.0,0.07868020304568528,0.5111970141295654,0.08074340920255445,0.13959390835025381,2.892841680544834,0.13959390762944163,0.1,0.0967741935483871,0.9532258064516129
