horizon,market,portfolio_name,baseline,train_row_count,test_row_count,train_positive_count,test_positive_count,test_start,test_end,note
1,us,us_quality_tech_finance,frozen_calibrated_xgboost,1633,409,85,23,2024-09-26,2026-05-14,
1,us,us_quality_tech_finance,frozen_raw_xgboost_without_calibration,1633,409,85,23,2024-09-26,2026-05-14,ablation_of_calibration_layer
1,us,us_quality_tech_finance,historical_tail_threshold,1633,409,85,23,2024-09-26,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,us,us_quality_tech_finance,gradient_boosting,1633,409,85,23,2024-09-26,2026-05-14,
1,us,us_quality_tech_finance,logistic_regression,1633,409,85,23,2024-09-26,2026-05-14,
1,us,us_quality_tech_finance,random_forest,1633,409,85,23,2024-09-26,2026-05-14,
5,us,us_quality_tech_finance,frozen_calibrated_xgboost,1627,407,83,26,2024-09-24,2026-05-08,
5,us,us_quality_tech_finance,frozen_raw_xgboost_without_calibration,1627,407,83,26,2024-09-24,2026-05-08,ablation_of_calibration_layer
5,us,us_quality_tech_finance,historical_tail_threshold,1627,407,83,26,2024-09-24,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,us,us_quality_tech_finance,gradient_boosting,1627,407,83,26,2024-09-24,2026-05-08,
5,us,us_quality_tech_finance,logistic_regression,1627,407,83,26,2024-09-24,2026-05-08,
5,us,us_quality_tech_finance,random_forest,1627,407,83,26,2024-09-24,2026-05-08,
1,us,us_ai_infrastructure_barbell,frozen_calibrated_xgboost,1633,409,94,23,2024-09-26,2026-05-14,
1,us,us_ai_infrastructure_barbell,frozen_raw_xgboost_without_calibration,1633,409,94,23,2024-09-26,2026-05-14,ablation_of_calibration_layer
1,us,us_ai_infrastructure_barbell,historical_tail_threshold,1633,409,94,23,2024-09-26,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,us,us_ai_infrastructure_barbell,gradient_boosting,1633,409,94,23,2024-09-26,2026-05-14,
1,us,us_ai_infrastructure_barbell,logistic_regression,1633,409,94,23,2024-09-26,2026-05-14,
1,us,us_ai_infrastructure_barbell,random_forest,1633,409,94,23,2024-09-26,2026-05-14,
5,us,us_ai_infrastructure_barbell,frozen_calibrated_xgboost,1627,407,100,15,2024-09-24,2026-05-08,
5,us,us_ai_infrastructure_barbell,frozen_raw_xgboost_without_calibration,1627,407,100,15,2024-09-24,2026-05-08,ablation_of_calibration_layer
5,us,us_ai_infrastructure_barbell,historical_tail_threshold,1627,407,100,15,2024-09-24,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,us,us_ai_infrastructure_barbell,gradient_boosting,1627,407,100,15,2024-09-24,2026-05-08,
5,us,us_ai_infrastructure_barbell,logistic_regression,1627,407,100,15,2024-09-24,2026-05-08,
5,us,us_ai_infrastructure_barbell,random_forest,1627,407,100,15,2024-09-24,2026-05-08,
1,us,us_dividend_low_volatility,frozen_calibrated_xgboost,1633,409,82,24,2024-09-26,2026-05-14,
1,us,us_dividend_low_volatility,frozen_raw_xgboost_without_calibration,1633,409,82,24,2024-09-26,2026-05-14,ablation_of_calibration_layer
1,us,us_dividend_low_volatility,historical_tail_threshold,1633,409,82,24,2024-09-26,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,us,us_dividend_low_volatility,gradient_boosting,1633,409,82,24,2024-09-26,2026-05-14,
1,us,us_dividend_low_volatility,logistic_regression,1633,409,82,24,2024-09-26,2026-05-14,
1,us,us_dividend_low_volatility,random_forest,1633,409,82,24,2024-09-26,2026-05-14,
5,us,us_dividend_low_volatility,frozen_calibrated_xgboost,1627,407,91,27,2024-09-24,2026-05-08,
5,us,us_dividend_low_volatility,frozen_raw_xgboost_without_calibration,1627,407,91,27,2024-09-24,2026-05-08,ablation_of_calibration_layer
5,us,us_dividend_low_volatility,historical_tail_threshold,1627,407,91,27,2024-09-24,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,us,us_dividend_low_volatility,gradient_boosting,1627,407,91,27,2024-09-24,2026-05-08,
5,us,us_dividend_low_volatility,logistic_regression,1627,407,91,27,2024-09-24,2026-05-08,
5,us,us_dividend_low_volatility,random_forest,1627,407,91,27,2024-09-24,2026-05-08,
1,us,us_mid_small_sector_mix,frozen_calibrated_xgboost,1633,409,83,23,2024-09-26,2026-05-14,
1,us,us_mid_small_sector_mix,frozen_raw_xgboost_without_calibration,1633,409,83,23,2024-09-26,2026-05-14,ablation_of_calibration_layer
1,us,us_mid_small_sector_mix,historical_tail_threshold,1633,409,83,23,2024-09-26,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,us,us_mid_small_sector_mix,gradient_boosting,1633,409,83,23,2024-09-26,2026-05-14,
1,us,us_mid_small_sector_mix,logistic_regression,1633,409,83,23,2024-09-26,2026-05-14,
1,us,us_mid_small_sector_mix,random_forest,1633,409,83,23,2024-09-26,2026-05-14,
5,us,us_mid_small_sector_mix,frozen_calibrated_xgboost,1627,407,88,22,2024-09-24,2026-05-08,
5,us,us_mid_small_sector_mix,frozen_raw_xgboost_without_calibration,1627,407,88,22,2024-09-24,2026-05-08,ablation_of_calibration_layer
5,us,us_mid_small_sector_mix,historical_tail_threshold,1627,407,88,22,2024-09-24,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,us,us_mid_small_sector_mix,gradient_boosting,1627,407,88,22,2024-09-24,2026-05-08,
5,us,us_mid_small_sector_mix,logistic_regression,1627,407,88,22,2024-09-24,2026-05-08,
5,us,us_mid_small_sector_mix,random_forest,1627,407,88,22,2024-09-24,2026-05-08,
1,hk,hk_platform_financial_core,frozen_calibrated_xgboost,1221,306,63,20,2025-02-14,2026-05-14,
1,hk,hk_platform_financial_core,frozen_raw_xgboost_without_calibration,1221,306,63,20,2025-02-14,2026-05-14,ablation_of_calibration_layer
1,hk,hk_platform_financial_core,historical_tail_threshold,1221,306,63,20,2025-02-14,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,hk,hk_platform_financial_core,gradient_boosting,1221,306,63,20,2025-02-14,2026-05-14,
1,hk,hk_platform_financial_core,logistic_regression,1221,306,63,20,2025-02-14,2026-05-14,
1,hk,hk_platform_financial_core,random_forest,1221,306,63,20,2025-02-14,2026-05-14,
5,hk,hk_platform_financial_core,frozen_calibrated_xgboost,1215,304,78,15,2025-02-12,2026-05-08,
5,hk,hk_platform_financial_core,frozen_raw_xgboost_without_calibration,1215,304,78,15,2025-02-12,2026-05-08,ablation_of_calibration_layer
5,hk,hk_platform_financial_core,historical_tail_threshold,1215,304,78,15,2025-02-12,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,hk,hk_platform_financial_core,gradient_boosting,1215,304,78,15,2025-02-12,2026-05-08,
5,hk,hk_platform_financial_core,logistic_regression,1215,304,78,15,2025-02-12,2026-05-08,
5,hk,hk_platform_financial_core,random_forest,1215,304,78,15,2025-02-12,2026-05-08,
1,hk,hk_consumption_insurance_mix,frozen_calibrated_xgboost,1453,364,73,15,2024-11-18,2026-05-14,
1,hk,hk_consumption_insurance_mix,frozen_raw_xgboost_without_calibration,1453,364,73,15,2024-11-18,2026-05-14,ablation_of_calibration_layer
1,hk,hk_consumption_insurance_mix,historical_tail_threshold,1453,364,73,15,2024-11-18,2026-05-14,current_historical_return_breaches_current_tail_threshold
1,hk,hk_consumption_insurance_mix,gradient_boosting,1453,364,73,15,2024-11-18,2026-05-14,
1,hk,hk_consumption_insurance_mix,logistic_regression,1453,364,73,15,2024-11-18,2026-05-14,
1,hk,hk_consumption_insurance_mix,random_forest,1453,364,73,15,2024-11-18,2026-05-14,
5,hk,hk_consumption_insurance_mix,frozen_calibrated_xgboost,1447,362,86,11,2024-11-14,2026-05-08,
5,hk,hk_consumption_insurance_mix,frozen_raw_xgboost_without_calibration,1447,362,86,11,2024-11-14,2026-05-08,ablation_of_calibration_layer
5,hk,hk_consumption_insurance_mix,historical_tail_threshold,1447,362,86,11,2024-11-14,2026-05-08,current_historical_return_breaches_current_tail_threshold
5,hk,hk_consumption_insurance_mix,gradient_boosting,1447,362,86,11,2024-11-14,2026-05-08,
