horizon,market,row_count,positive_event_count,positive_rate,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift
1,cn,3926.0,184.0,0.04686704024452369,0.569864261148421,0.05998372985657867,0.04456285094037767,0.188080327398402,0.002360351732684676,0.0,0.0,1.628775307002987
1,hk,3990.0,202.0,0.0506265664160401,0.6235924806841825,0.09541135395371284,0.04705034857772801,0.1932756928467575,0.00681337920425233,0.0,0.0,2.1287128712871284
1,jp,3935.0,209.0,0.05311308767471411,0.6464729933456096,0.1095996109017186,0.04928511148290404,0.2040345976588486,0.004464651331032887,0.0,0.0,2.7715978918223105
1,tw,2162.0,129.0,0.059666975023126734,0.6235715347922076,0.0951982253866302,0.055830229439211905,0.23035765482372983,0.010567013511639085,0.0,0.0,2.0080734469331616
1,us,4084.0,210.0,0.051420176297747304,0.673072620891413,0.1324952989593636,0.047017238288224544,0.2000333769039161,0.0037558311558371247,0.6666666666666666,0.01904761904761905,2.615205495401095
5,cn,3910.0,196.0,0.05012787723785166,0.5698632037629268,0.06702748407691198,0.04751709594190005,0.19843570786900408,0.0027452778241642863,0.0,0.0,1.8877551020408163
5,hk,3974.0,231.0,0.05812783090085556,0.5909813759132487,0.10322681617199475,0.05357056169423717,0.21473949530322645,0.004558584577408878,0.0,0.0,2.074789532075964
5,jp,3919.0,240.0,0.06124011227353917,0.6334114795687233,0.10116264330357909,0.05663288094198898,0.23641333660034092,0.009735860218799798,0.0,0.0,2.249426020408163
5,tw,2146.0,138.0,0.06430568499534017,0.6181902823488654,0.08731802087020053,0.06013089167742992,0.23633874954102688,0.01379992265623106,0.0,0.0,1.5912369396697
5,us,4068.0,228.0,0.05604719764011799,0.6526732684576023,0.10111801464205952,0.05211894468918441,0.21786356902926515,0.005869518451861241,0.0,0.0,2.191904823483771
