horizon,market,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift,positive_event_count,row_count
1,cn,0.5863134103125406,0.0786196025700441,0.0450902426084011,0.1952304402839271,0.0044381751662532,0.5,0.0073529411764705,1.9485294117647056,272.0,5700.0
1,hk,0.5984446360703906,0.0946286471762171,0.0508044917832481,0.2094547287553581,0.0016011060129204,0.0,0.0,2.219151794281328,315.0,5782.0
1,jp,0.6391070319830817,0.1024732116037623,0.0505562658938432,0.2041114094286159,0.0032582678404509,0.0,0.0,2.504530096248004,431.0,7886.0
1,tw,0.6348470114656595,0.1056900453156253,0.0530042766056984,0.2123149732638097,0.0056013239530046,1.0,0.0025974025974025,2.5164766678924653,385.0,6702.0
1,us,0.6730471130670393,0.1248649001077221,0.0490927499356018,0.2023917630285796,0.002131510585209,0.6,0.0068649885583524,2.493668581543796,437.0,8168.0
5,cn,0.626848266459292,0.0814900581374811,0.0457755475889824,0.1899519277016657,0.0061603133052756,0.0,0.0,2.200615243809427,277.0,5676.0
5,hk,0.5698641395504865,0.0959384119199128,0.0532500419984269,0.2239626213989423,0.0053431217708119,0.0,0.0,2.1212121212121215,330.0,5750.0
5,jp,0.6338744289768847,0.0931882378449964,0.0551559270060507,0.2339492221268068,0.0071709937275354,0.0,0.0,2.2894715334194222,467.0,7854.0
5,tw,0.652622158561212,0.0944224338522642,0.0563741465254867,0.2232663606919845,0.008795086426623,0.0,0.0,2.128712871287129,404.0,6670.0
5,us,0.6611353093199062,0.094911014911728,0.0517497729270292,0.2138697792581884,0.0037213530866482,0.0,0.0,2.078624078624079,452.0,8136.0
