horizon,market,roc_auc,pr_auc,brier_score,log_loss,calibration_error,precision_at_0_60,recall_at_0_60,top_decile_lift,positive_event_count,row_count
1,cn,0.569864261148421,0.0599837298565786,0.0445628509403776,0.188080327398402,0.0023603517326846,0.0,0.0,1.628775307002987,184.0,3926.0
1,hk,0.6235924806841825,0.0954113539537128,0.047050348577728,0.1932756928467575,0.0068133792042523,0.0,0.0,2.1287128712871284,202.0,3990.0
1,jp,0.6464729933456096,0.1095996109017186,0.049285111482904,0.2040345976588486,0.0044646513310328,0.0,0.0,2.7715978918223105,209.0,3935.0
1,tw,0.6235715347922076,0.0951982253866302,0.0558302294392119,0.2303576548237298,0.010567013511639,0.0,0.0,2.0080734469331616,129.0,2162.0
1,us,0.673072620891413,0.1324952989593636,0.0470172382882245,0.2000333769039161,0.0037558311558371,0.6666666666666666,0.019047619047619,2.615205495401095,210.0,4084.0
5,cn,0.5698632037629268,0.0670274840769119,0.0475170959419,0.198435707869004,0.0027452778241642,0.0,0.0,1.8877551020408163,196.0,3910.0
5,hk,0.5909813759132487,0.1032268161719947,0.0535705616942371,0.2147394953032264,0.0045585845774088,0.0,0.0,2.074789532075964,231.0,3974.0
5,jp,0.6334114795687233,0.101162643303579,0.0566328809419889,0.2364133366003409,0.0097358602187997,0.0,0.0,2.249426020408163,240.0,3919.0
5,tw,0.6181902823488654,0.0873180208702005,0.0601308916774299,0.2363387495410268,0.013799922656231,0.0,0.0,1.5912369396697,138.0,2146.0
5,us,0.6526732684576023,0.1011180146420595,0.0521189446891844,0.2178635690292651,0.0058695184518612,0.0,0.0,2.191904823483771,228.0,4068.0
